카테고리,제목,주최,조회수,D-day,접수기간,팀원 모집,댓글 수,포스터,상세 링크,상세 내용
국내봉사,클라랑스 대학생 CSR 서포터즈 클라미 8기 모집,클라랑스,451,D-9,2월 19일(수) ~ 3월 2일(일),0,0,https://cf-cpi.campuspick.com/activity/1740027451382697.jpg,https://www.campuspick.com/activity/view?id=28035,정보 없음
국내봉사,종로장애인복지관 윤슬대학생봉사단 2기 모집,종로장애인복지관,264,D-11,2월 18일(화) ~ 3월 4일(화),0,0,https://cf-cpi.campuspick.com/activity/1739862744967275.jpg,https://www.campuspick.com/activity/view?id=28030,종로장애인복지관에서는 장애인과 비장애인 함께 살아가기위한 공동체를 만들기 위해 윤슬대학생봉사단을 운영하고 있습니다. 윤슬대학생봉사단은 기획봉사를 통해 지역과 소통하는 콘텐츠를 개발하고 운영하는 역할을 수행할 예정입니다. 대학생분들의 다양한 아이디어와 기획력을 윤슬대학생봉사단에서 발휘해주세요!   모집기간: 2025년 2월 18일 ~ 2025년 3월 4일 (약 2주간) 접수 : https://naver.me/xX7i9AQC
국내봉사,꿈의숲종합사회복지관 홍보서포터즈 모집,꿈의숲종합사회복지관,376,D-10,2월 18일(화) ~ 3월 3일(월),0,0,https://cf-cpi.campuspick.com/activity/1739858734054612.jpg,https://www.campuspick.com/activity/view?id=28029,"꿈의숲종합사회복지관에서는 전문적인 봉사 및 홍보 활동에 관심이 있는 대학생을 대상으로 홍보서포터즈 6기를 모집하고 있습니다 : )  사회 공헌 활동에 관심 있으신 분, 지역사회 복지관 홍보에 관심있으신 분, 영상제작 및 SNS 활동에 관심있으신 모든 분들 많은 관심과 신청 부탁드립니다 ??  ? 모집인원 : 총 10명 ? 모집기간 : 2025.02.18.(화) ~ 03.03.(월) 18:00 까지 ? 신청방법 : https://forms.gle/cq1kUHL83cqtWH7T9 ? 활동기간 : 25년 3월 ~ 25년 12월 ※ 최소 5개월 참여 필수 ? 활동일정 : 3월 발대식 및 OT, 4~11월 서포터즈 활동, 12월 수료식 ※ 일정은 변동 될 수 있습니다. ? 활동내용 : 월 1회 활동회의 / 월 1회 이상 홍보활동 ? 활동지역 : 강북구 미아동, 송중동, 번3동 ? 활동혜택 - VMS 자원봉사시간 인증? - 우수 서포터즈 시상? - 수료증 수여? - 팀워크, 커뮤니케이션, 홍보역량 UP!? - 사회복지관 현장경험 꿀팁 및 취업코칭 등?  ??문의 : 권솔희 사회복지사 070-4105-1876"
국내봉사,[광진구청소년상담복지센터]2025년 대학생동아리 with U(위드유) 모,광진구청소년상담복지센터,207,D-13,2월 18일(화) ~ 3월 6일(목),0,0,https://cf-cpi.campuspick.com/activity/173985776865585.jpg,https://www.campuspick.com/activity/view?id=28028,안녕하세요! 광진구청소년상담복지센터입니다.  2025년 광진구청소년상담복지센터에서 활동해주실 대학생동아리 단원을 모집합니다!    ★ 모집기간 ㅣ 2025.2.18.(화) ~ 3.6.(목)  ★ 모집대상 ㅣ 상담 및 관련 전공 대학생(휴학생)  ★ 활동일정 ㅣ QR신청서 작성 → 25년 활동에 대한 오티진행 → 단원 활동시작  ★ 활동혜택 ㅣ 봉사시간 지급    ☆ 활동내용 ㅣ 매월 1회 사례회의 참여(진행시간을 오티 때 조율 후 매월 같은 시간으로 확정할 예정)  ☆ 청소년 정서 멘토링 활동  ☆ 집단상담 코리더로 참여  ☆ 청소년 및 상담 관련 교육 참여    ★ 접수방법 ㅣ QR코드로 신청서 접수(공고문에 QR코드 참고)
국내봉사,?? 재능 공유 프로젝트 꼼지락 4기 모집 ??,시립마포청소년센터,377,D-5,2월 18일(화) ~ 2월 26일(수),0,0,https://cf-cpi.campuspick.com/activity/1739854625120702.jpg,https://www.campuspick.com/activity/view?id=28025,"?? 재능 공유 프로젝트 꼼지락 4기 모집 ??  ?? 꼼지락 4기 모집 안내 ?? 해야 하는 거 말고, 하고 싶은 거! ?? 이게 된다고? 기상천외한 프로젝트, 우리가 해보자!  ?? 꼼지락 4기란?  내가 원하는 취미를 바탕으로 프로젝트를 기획하고 운영하는 공간 꼼지락 크루끼리 교류하며 함께 도전 자율적인 팀 프로젝트 진행 가능 (경제적 지원 & 장소 제공!)  ?? 모집 기간: ~2025. 02. 26. (수) ?? 사전 인터뷰: 2025. 02. 28. (금) (온라인 진행)  ?? 활동 개요 ? 정기 활동 (필수 참여 1회 포함, 자율 활동 2회 이상 진행) ? 정기 활동: 매달 2주차 토요일 (전체 모임) ? 자율 활동: 팀별 프로젝트 진행 (자율 일정 조정)  ?? 장소: 마포청소년센터 (마포구청역 도보 3분)  ?? 모집 대상 ? 내 취미를 공유하고 싶은 14~24세 (중·고등학생 & 대학생 누구나!) ? 기획하고 실행해보고 싶은 아이디어가 있는 사람 ? 도전 정신과 새로운 경험을 즐기는 사람  ?? 참여 혜택 ? 자원봉사 활동 시간 제공 ? 재능 공유활동 수료증 발급 ? 무료 취미 공간 제공 & 프로젝트 활동비 지원 (간식비 포함)  좋아하는 건 직접 해봐야 아는 거야!  ?? 신청 링크: https://forms.gle/ZdawfZzQkVae75A56 ?? 문의: 02-3153-5974 또는 '유스나루' 카카오채널"
국내봉사,[두암종합사회복지관] 광주광역시 북구 아동 멘토 모집,두암종합사회복지관,21,D-14,2월 18일(화) ~ 3월 7일(금),0,0,https://cf-cpi.campuspick.com/activity/1739847462667415.jpg,https://www.campuspick.com/activity/view?id=28023,"두암종합사회복지관 2025년 느린학습아동을 위한 지역사회 맞춤형 지지체계 구축사업 「위드up」 대학생 멘토 모집  ▶활동 기간 : 2025년 3월 21일 ~2025년 11월 21일  ▶활동 시간 : 매주 금요일 16시 ~ 18시 (2시간, 봉사시간 부여)  ▶활동 횟수 : 월 4회  ▶활동 내용  ★첫째 주 금요일★: 느린학습아동 독서지도 프로그램 보조  ★둘째 주 금요일★ 3월- 멘토와 아동결연 및 라포형성(1:1 결연식 진행) 4월- 과학의 달: 도르래를 이용한 로프식 엘리베이터 만들기 5월- 체육의 달: 놀이체육을 통한 신체발달 6월- 안전체험의 달: 심폐소생법(심박이), 붕대감기 등 긴급상황 대응 7월- 환경의 달: 새활용 물품 만들기로 환경보호 실천 8월- 장애인 인식의 달: 장애인인식개선교육(보치아 체험) - 공감인어스 9월- 문화예술의 달: 모루인형 만들기 활동을 통한 문화예술체험 10월- 디지털 활용교육의 달: SNS 범죄예방교육, 키오스크를 이용한 물품 구입 11월- 효과적인 멘토링 종결하기  ★셋째 주 금요일★: 느린학습아동 독서지도 프로그램 보조  ★넷째 주 금요일★: 아동 자율 보드게임 활동   ▶기타 문의 : 두암종합사회복지관 신미영 · 김민재 사회복지사 (062-266-8183)  ▶지원 :https://buly.kr/A44w5je"
국내봉사,2025년 시각장애인가정 자녀학습지도 학습도우미 추가모집,실로암시각장애인복지관,188,D-DAY,2월 18일(화) ~ 2월 21일(금),0,0,https://cf-cpi.campuspick.com/activity/1739845019169390.jpg,https://www.campuspick.com/activity/view?id=28022,
국내봉사,성프란치스꼬장애인종합복지관 ‘열린마을 발굴단’ 모집,성프란치스꼬장애인종합복지관,79,D-13,2월 18일(화) ~ 3월 6일(목),0,0,https://cf-cpi.campuspick.com/activity/1739839933907788.jpg,https://www.campuspick.com/activity/view?id=28020,모집기간: 2025. 02. 07.(금) ~ 03. 06.(목) *모집 기간 내 참여사 선정시 조기 마감될 수 있습니다. 활동교육: 2025. 03. 07.(금) *시간은 추후 개별 공지 활동기간: 2025. 03. ~ 2025. 11. 지원자격: 정기적 활동 가능한 분! 모집대상: 20세 이상 성인 누구나(성별 무관) 모집인원: 총 1명 (비장애인 1명) *모집 홍보지 ‘모집개요’ 에 ‘모집인원’ 장애 당사자 1명의 경우 복지관 이용자 중 선정 신청방법: 모집 홍보지 내 QR코드 촬영 또는 주소 (https://naver.me/FbO5Hwfw) 클릭 후 신청서 작성 및 제출
국내봉사,옥스팜 크루 1기,옥스팜코리아,510,D-9,1월 21일(화) ~ 3월 2일(일),0,0,https://cf-cpi.campuspick.com/activity/1739409500083341.jpg,https://www.campuspick.com/activity/view?id=28015,"옥스팜 크루 1기  안녕하세요~! 옥스팜 트레일워커 사무국입니다 2025 옥스팜 트레일워커의 자원봉사단 ‘옥스팜 크루 1기’의 맴버들을 모집합니다.  2025년 ‘옥스팜 크루 1기’ 모집  ● 모집개요 - 가난이 없는 공정한 세상을 만들기 위한 인생기부 프로젝트 ‘옥스팜 트레일워커’를 같이 운영할 옥스팜 크루 1기의 맴버를 모집합니다.   ● 기간 및 선발인원 - 모집기간 : 2025.1.21.(화) ~ 3.2.(일) - 선발인원 : 20명   ● 장소 - 봉사활동 : 강원도 인제군 - 프로그램(발대식, 교육 등) : 서울 중구 세종대로 19길 16, 옥스팜코리아   ● 지원자격 - 만19세이상 성인 - 장시간 야외 활동에 건강상의 문제가 없는 자 - 발대식 및 교육 일정에 참여가 가능한 자 - 평소 러닝, 등산, 트레일러닝에 관심있는 분 환영   ● 활동내용 - 대회 각 주요장소 (START, CP, FINISH등)에 배치되어 참가 선수들에게 계측/식음료/안내 등 진행   ● 활동기간 - 3.25(화) ~ 6.10(화)   ● 지원사항 - 자원봉사 시간 지급(1365) - 굿즈 제공 - 숙식 및 소정의 교통비 지급 - (수료자) 수료증 수여, 차년도 대회 참가비 50% 할인   ● 세부일정 - 발대식 : 3.25(화) 19:00 - 교육1 : 4.15(화) 19:00 - 교육2 : 5.6(화) 19:00 - 대회 운영 : 5.23(금) ~ 25(일) - 해단식 : 6.10(화) 19:00   ● 신청 - 네이버 폼 제출 : https://naver.me/x3jCJupV   ● 유의사항 - 일정 및 장소는 상황에 따라 변경될 수 있습니다."
국내봉사,익명의 고민에 손편지 답장을 전해주실 '온기우체부'를 모집해요??,온기우편함,425,D-5,2월 14일(금) ~ 2월 26일(수),0,3,https://cf-cpi.campuspick.com/activity/1739423806368615.jpg,https://www.campuspick.com/activity/view?id=28010,"▷ 주최사 / 활동명  온기우편함 / 온기우체부   ▷ 활동내용  익명의 고민에 손편지로 답장을 작성하는 활동이에요 ?? 진심을 담아 손편지 답장을 함께 전해주실 따뜻한 분들을 모집하고 있어요.   ▷ 모집기간  2월 14(금) - 2월 26일(수)까지예요 :)   ▷ 모임공간  서울시 서초구 방배동 810-9 4층 온기우편함 (내방역 도보 10분 거리*)   ▷ 지원방식  아래 링크를 통해 지원해주실 수 있어요. 활동 관련 자세한 사항도 확인 가능해요 ?  https://ongibox.co.kr/ongivolunteerof   ▷ 온기우편함 단체 소개  1) 온기우편함 ??: 온기우편함은 사회구성원 누구나 익명으로 고민을 보내면, 손편지로 답장을 받아볼 수 있는 활동이에요. <나미야잡화점의 기적> 책을 읽다, 이 책의 판타지적인 요소를 현실에 옮겨보고 싶었어요. 내면의 이야기를 털어 놓을 곳이 없는 우리 사회에, 나의 이야기를 익명으로 털어 놓을 수 있고, 진심으로 들어줄 수 있는 곳이 온기우편함이 되었으면 해요.  - 온기 홈페이지: https://ongibox.co.kr/  2) 온기 인스타그램: https://www.instagram.com/ongi_box (@ongi_box)    ▷ 봉사시간  1365 봉사시간 발급 가능해요 :)    -  ?? ""한 사람에게 손편지 위로를 전해도 세상이 바뀌진 않지만, 그 사람이 사는 세상은 바뀔 수 있다고 믿어요.""  -"
