카테고리,제목,주최/주관,접수기간,D-day,조회수,저장,댓글,포스터,상세 링크,상금,상세 내용
기획/아이디어,제1회 CAIND 청년 국제개발 에세이 공모,국제개발컨설팅협회(CAIND),2월 24일(월) ~ 3월 7일(금),D-14,235,0,0,https://cf-cpi.campuspick.com/activity/1739777622759905_thumb.jpg,https://www.campuspick.com/contest/view?id=28013,"500,000원",
기획/아이디어,제69회 신문의 날 신문홍보 캐릭터를 공모합니다.,한국신문협회,1월 2일(목) ~ 2월 28일(금),D-7,816,0,0,https://cf-cpi.campuspick.com/activity/1739496766503675_thumb.jpg,https://www.campuspick.com/contest/view?id=27976,"1,000,000원","제69회 신문의 날 신문홍보 캐릭터를 공모합니다.  ? 공모 부문 : 제69회 신문의 날 신문홍보 캐릭터 ? 공모 기간 : 2025년 1월 2일(목) ～ 2월 28일(금) 17:00까지 ? 공모 소재 ? 신문이 국민과 함께 친근하게 소통할 수 있는 캐릭터 (캐릭터명 기재) ? 신문의 위상과 역할이 잘 담겨 있는 캐릭터 ? 신문의 특·장점과 사회적 가치를 상징하는 캐릭터 ? 공모 방법 : 이메일 제출(heesunny@presskorea.or.kr) ? 출품 자격 및 규격 ? 자격 : 개인으로만 출품 가능 (개인당 2작품 이내) ? 캐릭터 형태 : 기본형 앞, 뒤, 좌, 우 4종 ? 제출 파일 확장자 : JPG, PNG, PDF 파일 (손그림 제외) ? 해상도 : 300dpi 이상 ? 크기 : A4(210*297mm) 가로·세로 무관 ※ 수상 작품은 추후 원본 파일 제출(Ai, PSD 등 해상도 300dpi 이상) ? 기타 : 캐릭터 이름 및 특징 등 설명 자료 ? 시상 내역 ? 대 상 : 1명 (상금 100만원과 상패) ? 우수상 : 2명 (상금 50만원과 상패) ? 출품 서류 ①참가신청서 및 개인정보 수집·이용 동의서, ②서약서, ③작품 파일 ※ 작성방법 자필서명 후 스캔본 제출 ※ 번호 ①～③ zip파일로 제출 ? 발표 : 3월 중순 이후 수상자 개별 통보 ? 시상 : 제69회 신문의 날 기념대회 ? 제출 및 문의처 : 한국신문협회, 02-730-0199  ※ 주의 사항 가. 출품물과 관련된 제품이 생산 또는 판매된 경우 나. 출품일 기준 국내·외 공모전에서 입상한 출품물 다. 모방성이 인정되는 출품물 라. 공공질서, 미풍양속에 해롭다고 인정되는 출품물 마. 요강에 명시된 제작 규격에 적합하지 않은 출품물  ※ 타인의 아이디어를 모방한 내용을 출품하였을 경우 생기는 모든 피해에 대한 책임은 출품자 본인에게 있음"
기획/아이디어,제95회 춘향제 홍보 콘텐츠 & 아이디어 공모전,전라북도 남원시,2월 7일(금) ~ 2월 28일(금),D-7,"1,447",0,0,https://cf-cpi.campuspick.com/activity/173890888176148_thumb.jpg,https://www.campuspick.com/contest/view?id=27877,"2,000,000원","<공모전 상세내용>   제95회 춘향제 홍보 콘텐츠 & 아이디어 공모전   ? 공모전 주제  1) 다양한 계층에 춘향제를 알리기 위한 홍보 콘텐츠 기획 제작  2) 춘향제를 홍보할 수 있는 다양한 아이디어  3) 춘향제와 K-컬쳐의 적절한 콜라보로 이루어진 모객 & 홍보제안    ? 공모일정  1) 접수기간 : 2025년 2월 7일 (금) ~ 2025년 2월 28일 (금) 18시  2) 공모전 평가 : 2025년 3월 3일 (월) ~ 2025년 3월 7일 (금) 18시  3) 최종 입상자발표 : 2025년 3월 10일 (월) / 입상자 전원 개별 통보예정  ※ 상기 일정은 내부 사정에 의해 변동될 수 있습니다.    ? 시상내역  총 33작 선정_ 입상 13작 + 참가상 20작 / 총 1,000만원 상당  1) 대상 (1팀) : 남원시장상 & 200만원  2) 최우수상 (3팀) : 남원춘향제전위원장상 & 100만원 / 각 부문별 1팀씩  3) 우수상 (3팀) : 50만원 / 각 부문별 1팀씩  4) 장려상 (6팀) : 30만원 / 각 부문별 2팀씩  5) 참가상 (20팀) : 스타벅스 기프티콘 3만원권 / 모든 부문 통틀어서 20팀  ※ 입상자(대상~장려상)의 경우 제세공과금은 수상자 본인이 직접 부담합니다. ? 응모자격  춘향제에 관심 있는 국민 누구나 ※ 팀구성은 1인도 가능하며, 3인 이하로 구성  ? 응모분야  1) 영상 : 홍보용 숏폼 콘텐츠, 웹드라마, 뮤직비디오, 애니메이션 등 춘향제 관련 홍보 콘텐츠 (기획안, 구성안이 아닌 완성된 콘텐츠 제출 / 아이디어나 제안은 자유부문으로 응시)  2) 웹툰 : 인스타 스토리툰, 웹툰, 캐릭터, 홍보용 이미지 기획 등 콘텐츠 소재 제한 없음 (기획안, 구성안이 아닌 완성된 콘텐츠 제출 / 아이디어나 제안은 자유부문으로 응시)  3) 자유부문 : 홍보기획안, 모객 아이디어, 이벤트안, 키비주얼, 캐릭터 BI, 슬로건 등 춘향제를 알릴 수 있는 홍보 콘텐츠 및 아이디어   ? 제출양식  1) 영상 : 분량 60초 이내 / 형식 - 해상도 1920 * 1080px (FHD) 이상 / 용량 - 300mb 이하 / 형태 - 형식&장르 제한없음, 동영상 파일 형식 (avi, mp4, mpv)  2) 웹툰 : 분량 - 10컷 이내(썸네일 포함) / 형식 - 크기 1080 * 1080px 사이즈 / 형식 - 해상도 300dpi 이상 / 용량 - 20mb 이하 (JPEG, PNG,파일 Zip으로 변환 후 접수)  ※ 망고보드 및 카드뉴스 제작 프로그램 사용불가   3) 자유부문 : 분량 - 자유분량 / 형식 - 자유형식 / 형태 ? 자유형태   ? 문의처  공모전 관련 문의 ▷ 공모전 운영관리처 : 02-2102-7105  남원시 축제관련 문의 ▷ 남원시 관광과 : 063-620-5784  ※ 문의 가능 요일 및 시간 : 월~금 09:30~17:30 / 공휴일, 점심시간(12:00~13:00) 제외"
기획/아이디어,"실패, 성공 그 이상의 시도 챠챠챠 5기 모집",사단법인 유쾌한반란,1월 31일(금) ~ 2월 23일(일),D-2,"1,867",0,0,https://cf-cpi.campuspick.com/activity/1737707981969324_thumb.jpg,https://www.campuspick.com/contest/view?id=27769,"5,000,000원","[참가 자격] - '하고 싶은 일'에 대한 고민의 시간을 갖고 싶은 청춘 누구나 - 실패에 대한 두려움을 깨고 싶은 청춘 누구나 - 지원 가능 연령 : 19세 ~ 34세 (92년01월 ~ 07년 12월생) *팀 구성 : 개인 또는 4일 이하 *직장인, 사업자, 재학생도 지원 가능하나, 챠챠챠 프로젝트에 집중해 참가할 수 있는 충분한 시간을 스스로 확보해야 함   [시상 내역] - 최대 1,000만원의 활동 지원금 - 교육, 멘토링, 컨설팅 등   [공모 일정] - 모집기간 : 2025년 1월 31일(금) ~ 2025년 2월 23일(일)   [제출 형식] - 지원서 문항 1. 개인정보 작성 2. 지원자 자기 소개 · 챠챠챠 지원 이전에 너는 어땠어? · 챠챠챠 지원이 너에게 어떤 의미야? · 최근에 가장 기뻤던 칭찬과 그 이유는 뭐야? · 가장 후회됐던 일은 뭐야? 그리고 그 일울 변화시킬 수 있는 능력을 가질 수 있다면, 어떤 능력을 고르고 싶어? (미안하지만, 초능력은 안돼) 3. 하고 싶은 일 또는 관심사 소개 · 네가 '하고 싶은 일'에 대해 간단히 말해줘. '하고 싶은 일'이 없다면 최근 어떤 일에 관심이 많은지 이야기 해줘.   [접수 방법] - 유쾌한반란 홈페이지(www.queran.or.kr) → 챠챠챠 → 모집공고 → URL클릭 → 구글 로그인 → 구글폼을 통한 지원서 제출   [문의 사항] - chachacha@queran.or.kr 메일 문의 - queran.or.kr 홈페이지 모집공고 하단 '질문하기' 이용  *자세한 내용은 홈페이지 모집공고 참고"
기획/아이디어,2025 탄소중립 실천 캘리그림 공모전,환경부,1월 20일(월) ~ 2월 25일(화),D-4,"3,082",0,0,https://cf-cpi.campuspick.com/activity/1737425681591189_thumb.jpg,https://www.campuspick.com/contest/view?id=27757,1천만원이하,"2025 탄소중립 실천 캘리그림 공모전  ■ 공모주제 : 탄소중립 실천메시지를 담은 그림을 포함한 캘리그라피 * '탄소중립' 단어를 포함하거나 탄소중립 실천 메시지를 자유롭게 표현(25자 이내)   ■ 공모기간 : 2025. 1. 20.(월) ~ 2.25.(화)   ■ 결과발표 : 2025. 4월 중   ■ 공모대상 : 탄소중립에 관심있는 국민 누구나   ■ 접수처 : 공모전 누리집(netzero2025.kr) 접수하기 메뉴   ■ 제출서류 : 접수 시 작품 이미지 파일, 동의서 파일 첨부  작품파일 작품 형식: JPG, PNG (300dpi) 작품 사이즈: A2(420x594mm)  * 출품작 수 제한 없음 * 파일명: 작품제목_지원자 이름 ※ 최종 수상 후보작에 한해 심사 및 발표를 위한 원본 파일 요청 예정 제출서류 공지사항에서 개인정보수집·활용동의서 다운로드 및 작성 후 첨부  ■ 시상내역 : 본상 35작품(총 800만 원), 이벤트 시상 50작품(50만 원)    ■ 시상 : 시상식 개최 및 수상작 작품 전시(공공장소 디지털 사이니지 활용) * 4월 중 예정 ※ 시상식은 주최측의 상황에 따라 변동 혹은 대체될 수 있습니다.     ■ 문의사항 : 공모전 누리집(netzero2025.kr)의 Q&A 및 문의처에 문의 - 문의처 (E-Mail. info@formform.co.kr / Tel. 02-6212-7853)   ■ 유의사항 ※ 작품 이미지는 향후 전시작품으로 활용될 수 있으므로, 고화질 이미지로 제출 부탁드립니다. ※ 수상작 슬로건은 향후 환경부에서 사용될 수 있습니다."
기획/아이디어,2025 서울조각페스티벌 제2회 서울조각상 공모,서울특별시,2월 17일(월) ~ 2월 28일(금),D-7,559,0,0,https://cf-cpi.campuspick.com/activity/1737694458440690_thumb.jpg,https://www.campuspick.com/contest/view?id=27754,"25,000,000원","공모 개요 ? 공모 명칭 : 제2회 서울조각상  ? 공모 주제 : 나비의 날갯짓 - 대한민국의 수도 서울에서 느끼는 생동감을 담아 작은 날갯짓이 나비효과를 일으키듯이 전 세계 인류에게 희망과 긍정의 메시지를 전파할 수 있는 작품을 찾습니다.  ? 공모 작품 : 공모 작가 1명당 야외 조각 작품 1점 - 야외 전시를 위한 작품으로 내구성을 갖춘 재료로 제작되어야 하며 분실과 파손 위험 또는 안전성 문제가 없는 작품이어야 함 - 야외 공원의 상시 개방성 및 안전상의 이유로 시각적 감상 위주 작품 ※ 인터렉티브ㆍ관객참여형 작품 응모 제한, 전시장 내 조명 및 관람 동선 안내 구조물 설치 예정 - (규모) 3×3×5(m) 이내 또는 이에 준하는 규모의 작품 ※ 작품 규모는 전시 현장 여건 등을 감안한 예시이며, 자유롭게 구상하되 입선작 선정 이후 예술감독과 협의하여 최종 조정 가능 - 공고일 현재, 국내?외 미발표된 작품으로 반드시 신작으로만 공모 가능 (구작 또는 기제작된 작품 공모 불가)  ? 응모 자격 - 조각(조형예술) 분야에서 활동 중인 만 19세 이상의 대한민국 국적의 작가 또는 국내 활동 중인 해외작가(개인 또는 팀) ※ 체류비 미지급 - (필수) 최근 3년 이내 조각 관련 개인전 또는 단체전 1회 이상 개최 경력 ※ 팀 구성은 최소 2명 이상이며 팀원 모두 위의 두 자격을 충족해야 함 ※ 졸업전 및 학위청구전 제외  ? 선정 내용 : 입선자 15인(팀), 입선자 중 대상 1인(팀)  ? 지원 내용 : 서울조각페스티벌(뚝섬한강공원, 9-11월 전시) 입선 작품 전시 및 작품제작비(2천5백만원) 지원   선정 작가 지원 및 특전 ? 입선자 : 15명 - 작품제작지원금 25,000,000원(아티스트피 포함), 상(서울특별시장) - 2025 서울조각페스티벌에 수상작 전시 ※ ‘25년 전시 종료 이후 향후 3년간 서울시 주요 사업과 연계하여 우선적으로 전시할 수 있음  ? 서울조각상(대상) : 1명 - 노을조각공원 이동 설치(3년 내외), 상(서울특별시장) ※ 작품대여조건 등은 별도의 심사위원회를 통해 결정  공모일정 ? 공고기간 ’25. 1. 22.(수) ~ 2. 28.(금) ? 접수기간 ‘25. 2. 17.(월) - 2. 28.(금) 18:00 *이메일 접수 ? (1차) 서류심사 ’25. 3. 4.(화) - 3. 14.(금) ? (1차) 결과발표 ’25. 3. 18.(화) ? (2차) 인터뷰심사 ’25. 3. 25.(화) - 3. 31.(월) ? (2차) 입선작 선정결과 발표 ’25. 4. 3.(목) ? 작품 준비 결과발표일 ? 8. 17.(일) ? 작품 설치 ’25. 8. 18.(월) - 8. 31.(일) ? 본선 전시 ’25. 9. 1.(월) - 11. 16.(일) ? (3차) 대상작 선발 ’25.12월 중  공모 접수 방법 ? 서울조각상 운영사무국 이메일 artseoul2025@gmail.com을 통해 접수 ※ 제출 서류는 하나의 PDF파일로 제출하며, 파일명은 “2025서울조각상지원서제출_지원자(팀)명”으로 제출 (제출 서류 최대 용량 100MB 이하) ※ 제출 서류 및 접수 방법, 공모 일정 등 자세한 내용은 서울시 고시공고 필히 참고 https://www.seoul.go.kr/news/news_notice.do#view/427087  관련문의 -서울시 박물관과 02-2133-4234 (10:00-18:00, 점심시간 12:00-13:00 제외)"
기획/아이디어,DN프릭스 굿즈 개발 아이디어 공모전,DN솔루션즈,1월 16일(목) ~ 2월 21일(금),D-DAY,"4,597",0,0,https://cf-cpi.campuspick.com/activity/1738716835252633_thumb.jpg,https://www.campuspick.com/contest/view?id=27665,"5,000,000원","[DN프릭스 굿즈 개발 아이디어 공모전]  공모주제 DN솔루션즈의 정체성과 기술력을 접목한 DN프릭스의 독창적이고 상징적인 굿즈 개발  접수 기간 25년 1/16(목)~2/21(금)  응모자격 대학생(휴학생 포함) 및 대학원생 일반인 (나이제한 없음) *개인 또는 팀 구성 최대 3명  응모 부문 (택 1) 1. 굿즈 ‘아이템’ 디자인 DN솔루션즈의 기술과 브랜드 아이덴티티를 반영한 ‘새로운 굿즈 물품’을 개발하는 것으로 단순히 기존에 존재하는 물품 (텀블러, 키링, 등)에 로고만 적용하는 것이 아닙니다. 금속을 활용한 새로운 굿즈 물품을 개발하는 것입니다. (예, DN프릭스 로고가 새겨진 금속 키링)  2. 굿즈 ‘캐릭터’ 디자인 아이템에 적용될 수 있는 캐릭터 디자인하는 것입니다. 단, 개발된 캐릭터 기반으로, 해당 캐릭터가 적용될 수 있는 굿즈 ‘아이템’ 1개 선정하여 목업 및 기획안 준비해야 합니다. 해당 유형에는 기존에 존재하는 일상적인 아이템에 캐릭터만 적용하여도 됩니다. (예, 텀블러) *위 두 가지를 합친 응모작도 가능합니다. (개발된 캐릭터가 적용된 새로운 아이템) 단, 별도의 가산점은 없습니다.  제출물 1. DN프릭스 디자인 목업: 굿즈 형상화한 이미지 파일 (ai, png, jpeg, jpg 파일) 2. 굿즈 기획안 (PDF 파일)  기획안 작성 가이드 1. 굿즈 ‘아이템’ 디자인 (명시된 항목은 필수입니다) ? 아이템명 ? 아이템 설명: 아이템의 기본적인 설명(형태, 기능) ? 디자인 컨셉: 디자인의 주요 요소(색상, 형태, 소재), 스토리텔링 ? 기술적 및 브랜드 연결: 브랜드와 기술력을 어떻게 형상화 하는지 설명 ? 목표 및 효과: 아이템이 브랜드 이미지 향상에 어떤 방식으로 기여할 수 있는지 설명, 전달하고자 하는 메시지가 무엇인지  2. 굿즈 ‘캐릭터’ 디자인 ? 캐릭터명(이름) ? 캐릭터 스토리텔링 (배경 및 특징): 캐릭터의 스토리(성격, 스타일, 분위기 등) 주요 특징 작성 ? 기술적 및 브랜드 연결: 브랜드와 기술력을 어떻게 형상화 하는지 설명, 어떤 특징을 담아냈는지 설명 ? 적용 아이템: 캐릭터가 적용될 굿즈 아이템 선정하여, 해당 아이템 선정 이유 설명 ? 목표 및 효과: 캐릭터가 브랜드 이미지 향상에 어떤 방식으로 기여할 수 있는지 설명, 전달하고자 하는 메시지가 무엇인지  시상내역 ? 대상 (1팀): 500만원 ? 최우수상 (1팀): 300만원 ? 우수상 (2팀): 200만원 ? 장려상 (3팀): 100만원  접수방법 ? 접수 기간 내에 dn.freecs@dncompany.com 에 제출합니다. ? 응모작은 20MB 내로 제출합니다.  심사 기준 ? 브랜드 적합성 ? 당사 및 e스포츠 팀(DN프릭스)의 특징 및 철학을 잘 나타내는지 ? 유형 1 경우, 굿즈 아이템이 금속을 활용하였는지 ? 실용성: 실제로 생산 가능한 디자인인지 ? 시장성: 대중(2030 세대) 관심을 끌 수 있는지, 경쟁력이 있는지 ? 완성도: 디자인 품질 및 구체성 ? 스토리텔링: 굿즈로 전달하고자 하는 메시지가 뚜렷한지 ? 창의성: 새로운 시각으로 브랜드와 기술을 결합하였는지  유의사항 ? 수상작에 한해 일부 수정 요청 사항이 있을 수 있습니다. ? 수상작의 저작권은 당사에 귀속됩니다. ? 생성형 AI 솔루션을 활용한 경우, 작품 내에 이를 명시해야 하며, 이를 어길 시 심사에서 제외되거나 수상 발표 이후라도 수상이 취소될 수 있습니다. ? 응모작이 제3자의 저작권, 초상권 등을 침해하지 않도록 주의 의무 다하여야 하며 모든 법적 분쟁 및 책임은 응모자에게 있으며 적발 시 수상이 추후 취소될 수 있습니다. ? 응모작은 타 공모전에서 수상 경력이 없는 자료이어야 합니다.  문의 dn.freecs@dncompany.com  DN솔루션즈 공식 홈페이지 https://www.dn-solutions.com/kr/main.do   당사 소개 DN솔루션즈는 국내 머신 툴(공작기계) 시장 점유율 1위, 세계 시장 점유율 3위의 글로벌 기업입니다. 1970년대부터 축적한 독자적인 기술력을 바탕으로 터닝센터와 머시닝센터 등 400여 종의 다양한 제품 라인업을 보유하고 있습니다. 또한, 66개국 140여 개의 해외 딜러 네트워크를 통해 매출의 약 80%를 수출로 올리고 있으며, 이를 기반으로 글로벌 시장에서 강력한 입지를 다지고 있습니다. DN솔루션즈는 자체 개발한 소프트웨어를 활용하여 유연한 자동화와 디지털 가공을 실현하며, 산업 및 가공별 맞춤형 솔루션을 제공하고 있습니다. 이러한 기술력은 자동차, 항공, 의료, 에너지, IT, 건설 등 다양한 글로벌 고객들의 수요에 부응하고 있습니다."
기획/아이디어,제6회 건설?교통신기술 슬로건 및 사진 공모전,한국건설교통신기술협회,1월 2일(목) ~ 2월 28일(금),D-7,"3,002",0,0,https://cf-cpi.campuspick.com/activity/173639791437978_thumb.jpg,https://www.campuspick.com/contest/view?id=27593,"1,000,000원","스마트 건설과 4차 산업혁명이 변화시키는 미래 사회에서 건설?교통 신기술이 핵심 산업으로 자리잡을 수 있도록, 창의적인 슬로건과 생동감 넘치는 모습을 담은 사진을 공모하여 신기술을 홍보하기 위해 제6회 건설?교통신기술 슬로건 및 사진 공모전이 개최 되었습니다 많은 참여 부탁드립니다!  * 행사명 : 제6회 건설?교통신기술 슬로건 및 사진 공모전 * 참가 자격 : 전 국민 누구나(슬로건/사진 둘다 접수 가능) * 주최 : 한국건설교통신기술협회 * 후원 : 국토교통부, 국토교통과학기술진흥원, 신기술진흥연구원 * 신청 기간 : 25. 1. 2.(목) ~'25. 2. 28.(금) * 신청 방법 : 협회 홈페이지(www.kcna.or.kr)"
기획/아이디어,2025 대한민국 대학생 패키징 공모전징 공모전,산업통상자원부,2024년 12월 2일(월) ~ 2월 27일(목),D-6,"8,332",0,0,https://cf-cpi.campuspick.com/activity/1735870803578918_thumb.jpg,https://www.campuspick.com/contest/view?id=27550,1천만원이하,"[산업통상자원부] 2025 대한민국 대학생 패키징 공모전 [바로가기 >>> https://koreastar.kopack.re.kr/] ■참가자격 - 전국 대학(원)에 재학 또는 휴학, 2024년 2월 졸업예정자, 1인 또는 단체(팀 3인이내)로 패키징과 연관된 컨셉으로 제품에 적용 가능한 상품성, 창의성, 표현성, 친환경성, 재활용가능성 등이 어우러진 패키징 제품 또는 디자인을 출품한 자  ■공모주제 - 패키징과 연관된 컨셉으로 상품성, 창의성, 표현성, 친환경성, 재활용가능성 등이 어우러진 독창적인 패키징제품 또는 패키징디자인  ■시상내역 - 코리아스타상 학생부문 산업통상자원부장관상(1) : 상장 및 상금 한국생산기술연구원장상(2) : 상장 및 상금 부천시장상(2) : 상장 및 상금 한국패키징단체총연합회장상(3) : 상장 한국포장기술사회장상(5) : 상장  ■일정 - 2024년 12월 2일(월) ~ 2025년 02월 27일(목) 18:00  ■지원방법 - 홈페이지 참조  ■유의사항 - 기업부문과 학생부문은 출품작에 대한 분쟁이 발생할 경우 모든 법적 책임은 참가기업 또는 참가자에 있음(지적재산권, 초상권, 명예훼손 등) - 정부포상 관련 획득된 개인정보는 용도 이외에는 사용하지 않음 - 타 공모전 수상작품이나 표절작품은 응모할 수 없으며, 추후 표절 사실이 밝혀질 경우 수상을 취소하고 상금을 환수함. - 주최자는 수상작을 전시, 도록, 뉴스레터, 온라인홍보관 등에 게재할 수 있음. (단, 출품자의 허락 없이 타인에게 양도하여 상업적으로 사용할 수 없음.) - 작품반출 : 공모전 종료일 3개월 이내 미반출된 작품은 자체 폐기하며, 분실, 파손 및 기타의 책임을 지지아니함. (방문 반출)  ■문의 - 한국생산기술연구원 패키징기술센터 - Tel: (032)624-4778.4759 Fax: (032)624-4770 - email: kopack114@kitech.re.kr"
기획/아이디어,청년바다마을 조성 설계 아이디어 공모전,귀어귀촌종합센터,2024년 12월 17일(화) ~ 2월 27일(목),D-6,"4,115",0,0,https://cf-cpi.campuspick.com/activity/1735799219455657_thumb.jpg,https://www.campuspick.com/contest/view?id=27533,"1,000원","제목(사업명) 청년바다마을조성 설계아이디어 공모전   ● 참가 자격  ‘24.12.27. 기준 만 19세~39세인 대학생 및 대학원생  개인 또는 팀을 구성(3인 이내)하여 참가 가능     ● 공모 주제  청년층의 귀어 및 정착에 대한 원스톱 종합지원을 통해 어촌 인구 소멸방지 및  고령화를 완화하기 위해 시행하는 청년바다마을 조성의 실현을 위한 지속가능한  어촌마을의 단지계획 및 단위세대 평면 설계 등에 대한 아이디어를 공모  기존 어촌공동체와 청년바다마을 구성원 모두 지역공동체로서 편리하고  쾌적하게 생활할 수 있는 창의적인 아이디어 개발     ● 공모 일정  접수 일시 : 2025. 2. 27.(목) 10:00부터 18:00까지  접수 방법 : 홈페이지에 제출  응모신청 시 구비서류 : 신청서(서식2) 및 작품설명서(서식3)  심사 및 결과 발표 : 2025.3월(예정)    ● 시상 내역  대상(1명) : 장관상 및 상금(1,000만원)  우수상(1명) : 이사장상 및 상금(500만원)  장려상(2명) : 이사장상 및 상금(250만원)    ● 제출 형식  접수 일시 : 2025. 2. 27.(목) 10:00부터 18:00까지  접수 방법 : 홈페이지에 제출  응모신청 시 구비서류 : 신청서(서식2) 및 작품설명서(서식3)  심사 및 결과 발표 : 2025.3월(예정)    ● 접수 방법  1) 파일저장 : *.pdf 파일, *.jpg 파일 두 가지로 제출(jpg 파일 해상도 300dpi 이상)  ? 응모작 pdf파일은 30MB 이하, 작품설명서 pdf파일은 10MB이하로 작성    2) 파일명  ? ‘성명(생년월일)_응모작 파일’로 파일명을 지정하여 저장  예) ‘홍길동(891203)_응모작 파일’    3) 제출처: 귀어귀촌종합센터 홈페이지    4) 담당자: 서용희 과장(02-701-3813) 공모주제 : 청년바다마을조성 설계아이디어 공모전  ● 심사 기준    1) 응모작 심사는 심사위원회를 구성하여 시행한다.    2) 심사위원회 구성 및 운영에 관한 사항은 해양수산부 방침에 의거 결정한다.    3) 실격기준 위반여부 평가  ① “제4장 「설계평가 기준」의 2. 실격처리 기준”에 따라 위반여부를 검토하며, 위반사항 적발 시 해당  응모자는 실격 처리한다. 단, ③항의 소명사유가 인정될시 그러하지 아니한다.  ② 실격사항 적발 시 해당 응모작은 심사위원회에 상정하지 아니한다.  ③ 해양수산부는 실격사항 적발 시 즉시 해당 응모자에게 통보하고, 응모자는 통보일로부터 2일 이내에  소명하여야 한다. 기한 내 소명하지 아니하거나 소명사유가 인정되지 않을 경우 해당 응모자는 실격 처리한다.    4) 평가기준 : “제4장 「설계평가 기준」” 참고    5) 심사는 예비심사와 본심사로 나누어 진행한다.    6) 예비심사는 심사위원 투표를 통해 6개 응모작을 본심사 대상으로 선정한다. 단, 응모작 수가 입상작 수의 2배수  (8개 작품) 이하일 경우에는 4개 작품을 선정하여 본심사에 상정한다.  7) 본심사는 심사위원 투표로 4개 응모작을 1차 선정하고(응모작 수가 8개 이하일 경우 생략), 이들을 대상으로 제4장  「설계평가 기준」의 1. 평가항목별 배점기준에 따라 평가하여 순위를 결정한다. 순위에 따른 보상은 제1장 「공모개요 및  일정」의 당선혜택을 따른다.    8) 본심사에서 동점자가 발생할 경우 단지계획, 특화계획, 단위세대계획(창작), 단위세대계획(가족거주형), 단위세대계  획(1인거주형) 순서로 평가점수가 높은 응모작품을 우선순위로 한다.    9) 심사결과에 따라 당선작 수는 조정될 수 있으며, 심사결과 공모목적에 부합 되지 않을 경우, 심사위원회 의결을 거쳐  당선작품을 선정하지 아니할 수 있다.      ● 유의 사항  실격처리 기준  참가자격을 위반한 경우  패널등에 참가자를 특정할 수 있는 문구나 이미지 등이 포함된 경우 등  익명성 유지의 원칙 등 공정한 평가를 하는데 영향을 미칠 의도로 불공정 행위를 할 때  직·간접적으로 심사에 영향을 미치는 부당한 청탁이나 압력을 행사한 경우  심사 전에 심사 관련자에게 응모작에 대한 설명을 한 경우  타 공모전에 제출했던 작품을 동일하게 제출한 경우  제출한 서류 등에 허위사실이나 과제 누락 등 중대한 미비사항이 발견될 경우  기타 실격 해당 사항    ● 문의 사항 담당자 : 서용희 과장  이메일 : syh853@fipa.or.kr  문의 :02-701-3813"
